Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.300000,10.340000,10.230000,10.290000,9.384839,5688000
2020-01-03,10.290000,10.350000,10.260000,10.310000,9.403081,6992200
2020-01-06,10.220000,10.250000,10.170000,10.210000,9.311875,10068900
2020-01-07,10.120000,10.170000,10.100000,10.100000,9.211553,10589100
2020-01-08,10.000000,10.120000,9.990000,10.090000,9.202432,13440400
2020-01-09,10.210000,10.510000,10.150000,10.480000,9.558125,28436900
2020-01-10,11.100000,11.150000,10.620000,10.650000,9.713170,30794600
2020-01-13,10.950000,10.980000,10.800000,10.880000,9.922940,13659600
2020-01-14,10.870000,10.900000,10.770000,10.860000,9.904699,15188300
2020-01-15,10.830000,10.930000,10.730000,10.850000,9.895579,11884300
2020-01-16,10.840000,10.940000,10.810000,10.850000,9.895579,8511200
2020-01-17,10.840000,10.920000,10.720000,10.880000,9.922940,6604300
2020-01-21,10.770000,10.910000,10.770000,10.850000,9.895579,15790000
2020-01-22,10.940000,11.070000,10.920000,11.040000,10.068866,22364600
2020-01-23,11.090000,11.120000,10.880000,11.060000,10.087105,27833700
2020-01-24,11.070000,11.120000,10.940000,11.030000,10.059744,21191300
2020-01-27,10.830000,11.010000,10.830000,10.990000,10.023264,13542100
2020-01-28,10.990000,11.140000,10.950000,11.100000,10.123589,15422800
2020-01-29,11.180000,11.270000,11.040000,11.060000,10.087105,19730500
2020-01-30,11.000000,11.080000,10.970000,11.060000,10.087105,10487100
2020-01-31,10.960000,11.000000,10.900000,10.960000,9.995902,24260300
2020-02-03,10.880000,10.950000,10.780000,10.940000,9.977662,11681900
2020-02-04,11.080000,11.160000,11.050000,11.100000,10.123589,7737200
2020-02-05,11.100000,11.130000,11.030000,11.040000,10.068866,10488300
2020-02-06,10.970000,11.040000,10.950000,10.960000,9.995902,16312500
2020-02-07,10.950000,10.990000,10.840000,10.850000,9.895579,8140300
2020-02-10,10.850000,10.960000,10.830000,10.920000,9.959421,4589700
2020-02-11,10.970000,11.030000,10.930000,10.950000,9.986781,6526500
2020-02-12,11.080000,11.220000,11.060000,11.220000,10.233031,9928100
2020-02-13,11.220000,11.260000,11.090000,11.100000,10.123589,9416900
2020-02-14,11.080000,11.120000,11.010000,11.010000,10.041504,5420300
2020-02-18,11.150000,11.270000,11.140000,11.210000,10.223910,8421200
2020-02-19,11.240000,11.340000,11.220000,11.300000,10.305995,7540600
2020-02-20,11.220000,11.380000,11.190000,11.360000,10.360716,11640000
2020-02-21,11.330000,11.440000,11.300000,11.410000,10.406319,10524200
2020-02-24,11.110000,11.290000,11.110000,11.220000,10.233031,11279100
2020-02-25,11.200000,11.340000,10.940000,11.020000,10.050625,20686000
2020-02-26,11.010000,11.140000,10.950000,11.000000,10.032385,16736100
2020-02-27,10.820000,10.910000,10.610000,10.620000,9.685809,23272000
2020-02-28,10.180000,10.310000,9.990000,10.070000,9.184192,21543200
2020-03-02,10.130000,10.390000,10.030000,10.360000,9.448679,16473900
2020-03-03,10.340000,10.540000,10.130000,10.210000,9.311875,12922700
2020-03-04,10.350000,10.480000,10.220000,10.470000,9.549005,12536000
2020-03-05,10.320000,10.360000,10.070000,10.130000,9.238914,12249800
2020-03-06,9.960000,10.040000,9.590000,9.780000,8.919702,15525700
2020-03-09,9.210000,9.350000,8.790000,9.080000,8.281277,12921200
2020-03-10,9.420000,9.450000,9.010000,9.190000,8.381600,21848100
2020-03-11,9.060000,9.180000,8.850000,8.900000,8.117110,24616200
2020-03-12,8.300000,8.390000,8.000000,8.050000,7.341880,17213700
2020-03-13,8.600000,8.640000,8.000000,8.380000,7.642852,35410600
2020-03-16,7.350000,7.870000,7.240000,7.370000,6.721698,19661600
2020-03-17,7.400000,7.930000,7.120000,7.870000,7.177714,20011000
2020-03-18,7.100000,7.530000,7.080000,7.350000,6.703456,25345100
2020-03-19,7.320000,7.350000,7.030000,7.130000,6.502808,13834300
2020-03-20,7.500000,7.560000,6.860000,6.940000,6.329523,22880400
